date,all_connections,total_connections_all_GDP
01jan2021,183,77.606003
01feb2021,183,77.606003
01mar2021,185,77.606003
01apr2021,184,77.606003
01may2021,182,76.823997
01jun2021,179,77.100998
01jul2021,180,77.100998
01aug2021,182,77.100998
01sep2021,181,77.100998
01oct2021,181,77.100998
01nov2021,181,77.100998
01dec2021,181,77.100998
01jan2022,173,76.731003
01feb2022,175,76.731003
01mar2022,175,77.726997
01apr2022,173,77.533005
01may2022,173,77.533005
01jun2022,173,77.533005
01jul2022,174,77.536003
01aug2022,174,77.536003
01sep2022,174,77.536003
01oct2022,174,77.536003
01nov2022,174,77.536003
01dec2022,175,77.536003
01jan2023,175,77.867996
01feb2023,174,77.843002
01mar2023,174,77.843002
01apr2023,174,77.843002
01may2023,174,77.843002
01jun2023,174,77.843002
01jul2023,174,77.843002
01aug2023,173,77.843002
01sep2023,173,77.843002
01oct2023,173,77.843002
01nov2023,174,79.112999
01dec2023,174,79.112999
