date,Dist_noconnection,EAdistcumsum0,EAdistcumsum1,EAdistcumsum2,EAdistcumsum3,EAdistcumsum5
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01jan2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
01feb2000,100,16.938999,16.938999,16.938999,16.938999,16.938999
