country_ID,Year,Month,dist_CHN,reachable_nodes,incloseness,betweenness
4,2015,7,1,37,0.003402647,0
5,2015,7,1,37,0.003489894,0
6,2015,7,1,37,0.003402647,0
7,2015,7,,0,0,0
8,2015,7,1,37,0.003402647,0
9,2015,7,,0,0,0
10,2015,7,,0,0,0
11,2015,7,,0,0,0
12,2015,7,1,37,0.00412442,136.5333333
13,2015,7,1,37,0.003402647,0
14,2015,7,0,37,0.006049149,1174.933333
15,2015,7,,0,0,0
16,2015,7,2,37,0.002791695,0
17,2015,7,1,37,0.00412442,211.3666667
18,2015,7,,0,0,0
19,2015,7,,0,0,0
20,2015,7,1,37,0.003445718,0
21,2015,7,1,37,0.003678537,0
22,2015,7,1,37,0.003402647,0
23,2015,7,3,37,0.002177694,2.733333333
24,2015,7,1,37,0.003489894,0
25,2015,7,2,37,0.003024575,127.5666667
26,2015,7,1,37,0.003402647,0
27,2015,7,,0,0,0
28,2015,7,2,37,0.002791695,0
29,2015,7,,0,0,0
30,2015,7,1,37,0.003489894,0
31,2015,7,,0,0,0
32,2015,7,2,37,0.002722117,0
33,2015,7,1,37,0.003402647,0
34,2015,7,,0,0,0
35,2015,7,,0,0,0
36,2015,7,1,37,0.003445718,0
37,2015,7,,0,0,0
38,2015,7,,0,0,0
39,2015,7,,0,0,0
40,2015,7,1,37,0.003402647,0
41,2015,7,3,37,0.002177694,0
42,2015,7,,0,0,0
43,2015,7,1,37,0.003402647,0
44,2015,7,,0,0,0
45,2015,7,1,37,0.003402647,0
46,2015,7,,0,0,0
47,2015,7,,0,0,0
48,2015,7,1,37,0.003728928,31.5
49,2015,7,1,37,0.003402647,0
50,2015,7,1,37,0.00362949,75
51,2015,7,1,37,0.003581733,24.33333333
52,2015,7,1,37,0.003402647,0
53,2015,7,2,37,0.002695166,0
54,2015,7,1,37,0.004062861,63.2
55,2015,7,,0,0,0
56,2015,7,1,37,0.003402647,0
57,2015,7,,0,0,0
58,2015,7,2,37,0.002927008,0
59,2015,7,1,37,0.003402647,0
60,2015,7,2,37,0.002474652,0
61,2015,7,,0,0,0
62,2015,7,,0,0,0
63,2015,7,,0,0,0
64,2015,7,,0,0,0
65,2015,7,,0,0,0
66,2015,7,,0,0,0
67,2015,7,,0,0,0
68,2015,7,,0,0,0
69,2015,7,,0,0,0
70,2015,7,2,37,0.002927008,3.833333333
1,2016,7,1,39,0.003744415,0
2,2016,7,,0,0,0
3,2016,7,1,39,0.003744415,0
4,2016,7,1,39,0.003744415,0
5,2016,7,1,39,0.004098617,26.68571429
6,2016,7,1,39,0.003744415,0
7,2016,7,,0,0,0
8,2016,7,,0,0,0
9,2016,7,,0,0,0
10,2016,7,,0,0,0
11,2016,7,,0,0,0
12,2016,7,1,39,0.004395618,105.7095238
13,2016,7,1,39,0.003744415,0
14,2016,7,0,39,0.006893128,1330.790476
15,2016,7,,0,0,0
16,2016,7,2,39,0.002958062,0
17,2016,7,1,39,0.004395618,184.0428571
18,2016,7,,0,0,0
19,2016,7,,0,0,0
20,2016,7,1,39,0.00379122,0
21,2016,7,1,39,0.003990758,0
22,2016,7,1,39,0.003744415,0
23,2016,7,,0,0,0
24,2016,7,1,39,0.00393893,0
25,2016,7,2,39,0.003261265,96.06666667
26,2016,7,1,39,0.003744415,0
27,2016,7,,0,0,0
28,2016,7,2,39,0.002958062,0
29,2016,7,,0,0,0
30,2016,7,1,39,0.00379122,0
31,2016,7,,0,0,0
32,2016,7,2,39,0.002888549,0
33,2016,7,1,39,0.003744415,0
34,2016,7,1,39,0.003744415,0
35,2016,7,,0,0,0
36,2016,7,1,39,0.00379122,0
37,2016,7,,0,0,0
38,2016,7,,0,0,0
39,2016,7,,0,0,0
40,2016,7,1,39,0.003744415,0
41,2016,7,3,39,0.002333059,0
42,2016,7,,0,0,0
43,2016,7,1,39,0.003744415,0
44,2016,7,,0,0,0
45,2016,7,1,39,0.003744415,0
46,2016,7,,0,0,0
47,2016,7,1,39,0.003744415,0
48,2016,7,1,39,0.003990758,16.80952381
49,2016,7,1,39,0.003744415,0
50,2016,7,1,39,0.004043968,6.142857143
51,2016,7,1,39,0.003744415,0
52,2016,7,1,39,0.003744415,0
53,2016,7,2,39,0.002861298,0
54,2016,7,1,39,0.004332823,29.04285714
55,2016,7,1,39,0.003744415,0
56,2016,7,1,39,0.003744415,0
57,2016,7,1,39,0.003744415,0
58,2016,7,1,39,0.004332823,29.04285714
59,2016,7,1,39,0.003744415,0
60,2016,7,1,39,0.00379122,0
61,2016,7,,0,0,0
62,2016,7,,0,0,0
63,2016,7,,0,0,0
64,2016,7,,0,0,0
65,2016,7,,0,0,0
66,2016,7,,0,0,0
67,2016,7,,0,0,0
68,2016,7,,0,0,0
69,2016,7,,0,0,0
70,2016,7,2,39,0.003094874,3.666666667
1,2017,7,,0,0,0
2,2017,7,,0,0,0
3,2017,7,1,39,0.003698752,0
4,2017,7,1,39,0.003698752,0
5,2017,7,1,39,0.004098617,57.67063492
6,2017,7,1,39,0.003698752,0
7,2017,7,,0,0,0
8,2017,7,,0,0,0
9,2017,7,,0,0,0
10,2017,7,,0,0,0
11,2017,7,,0,0,0
12,2017,7,1,39,0.004332823,94.98015873
13,2017,7,1,39,0.003698752,0
14,2017,7,0,39,0.006739947,1310.757143
15,2017,7,,0,0,0
16,2017,7,2,39,0.002930924,0
17,2017,7,1,39,0.004332823,174.9873016
18,2017,7,1,39,0.003698752,0
19,2017,7,,0,0,0
20,2017,7,1,39,0.003744415,0
21,2017,7,1,39,0.00393893,0
22,2017,7,1,39,0.003698752,0
23,2017,7,,0,0,0
24,2017,7,2,39,0.002782547,0
25,2017,7,2,39,0.003332941,117.0095238
26,2017,7,1,39,0.003698752,0
27,2017,7,,0,0,0
28,2017,7,2,39,0.002930924,0
29,2017,7,,0,0,0
30,2017,7,1,39,0.00379122,0
31,2017,7,,0,0,0
32,2017,7,2,39,0.002861298,0
33,2017,7,1,39,0.003698752,0
34,2017,7,1,39,0.003698752,0
35,2017,7,,0,0,0
36,2017,7,1,39,0.003744415,0
37,2017,7,,0,0,0
38,2017,7,,0,0,0
39,2017,7,,0,0,0
40,2017,7,1,39,0.003698752,0
41,2017,7,3,39,0.002369513,0
42,2017,7,,0,0,0
43,2017,7,1,39,0.003698752,0
44,2017,7,,0,0,0
45,2017,7,1,39,0.003698752,0
46,2017,7,,0,0,0
47,2017,7,1,39,0.003698752,0
48,2017,7,1,39,0.00393893,21.68888889
49,2017,7,1,39,0.003698752,0
50,2017,7,1,39,0.003990758,33.28333333
51,2017,7,1,39,0.003698752,0
52,2017,7,1,39,0.003698752,0
53,2017,7,2,39,0.002834557,0
54,2017,7,1,39,0.004271798,40.30793651
55,2017,7,1,39,0.003698752,0
56,2017,7,1,39,0.00393893,10.84444444
57,2017,7,1,39,0.003698752,0
58,2017,7,1,39,0.004271798,20.15396825
59,2017,7,1,39,0.003698752,0
60,2017,7,1,39,0.003698752,0
61,2017,7,,0,0,0
62,2017,7,,0,0,0
63,2017,7,,0,0,0
64,2017,7,,0,0,0
65,2017,7,,0,0,0
66,2017,7,,0,0,0
67,2017,7,,0,0,0
68,2017,7,,0,0,0
69,2017,7,,0,0,0
70,2017,7,2,39,0.00312678,4.316666667
1,2018,7,1,37,0.003445718,0
2,2018,7,,0,0,0
3,2018,7,1,37,0.003445718,0
4,2018,7,,0,0,0
5,2018,7,1,37,0.003888739,44.36666667
6,2018,7,1,37,0.003445718,0
7,2018,7,,0,0,0
8,2018,7,,0,0,0
9,2018,7,,0,0,0
10,2018,7,,0,0,0
11,2018,7,,0,0,0
12,2018,7,1,37,0.004253308,98.6
13,2018,7,1,37,0.003445718,0
14,2018,7,0,37,0.00618663,1114.316667
15,2018,7,,0,0,0
16,2018,7,2,37,0.002791695,0
17,2018,7,1,37,0.00412442,167.95
18,2018,7,1,37,0.003445718,0
19,2018,7,,0,0,0
20,2018,7,1,37,0.003489894,0
21,2018,7,1,37,0.003678537,0
22,2018,7,1,37,0.003445718,0
23,2018,7,,0,0,0
24,2018,7,2,37,0.002722117,0
25,2018,7,2,37,0.003279659,126.9833333
26,2018,7,1,37,0.003445718,0
27,2018,7,,0,0,0
28,2018,7,2,37,0.002791695,0
29,2018,7,,0,0,0
30,2018,7,2,37,0.002927008,1
31,2018,7,,0,0,0
32,2018,7,2,37,0.002777671,0
33,2018,7,1,37,0.003445718,0
34,2018,7,1,37,0.003445718,0
35,2018,7,,0,0,0
